影城名称,放映系统,开业时间,银幕宽度(米),银幕高度(米),座位数(个),备注
宝鸡金逸影城(西建国际IMAX店),IMAX数字,2020年8月14日,19.3,10.65,376,-
银川万达影城(金凤万达广场店) ,IMAX数字,2011年9月9日,,  ,306,-
银川万达影城(西夏万达广场店) ,IMAX数字,2014年7月18日,,  ,414,-
吴忠万达影城(万达广场店) ,IMAX数字,2018年6月15日,  ,  ,373,-
石嘴山万达影城(万达广场店) ,IMAX数字,2018年7月6日,  ,  ,340,-
呼和浩特CGV影城(中山店) ,IMAX数字,2014年12月27日,  ,  ,367,-
呼和浩特万达影城(回民区万达广场店) ,IMAX数字,2017年8月25日,24.52,12.91,302,-
呼和浩特万达影城（万达广场店）,IMAX Commercial Laser ,2019年4月5日,21.24,10.87,398,12聲道音響系統
呼和浩特万达影城(喜悦广场店) ,IMAX数字,2017年12月16日,21.07,11.06,236,-
呼和浩特万达影城(凯德诺和木勒店) ,IMAX数字,2021年2月12日,21.12,11.45,384,-
包头万达影城(青山万达广场店) ,IMAX数字,2019年9月5日,23.07,11.455,314,-
包头万达影城(九原万达广场店),IMAX数字,2018年8月17日,-,-,370,-
包头万达影城(维多利摩尔城店),IMAX数字,2020年7月31日,-,-,323,-
赤峰万达影城(万达广场店) ,IMAX数字,2014年6月20日,  ,   ,414,-
乌海万达影城(万达广场店) ,IMAX数字,2016年6月25日,  ,   ,375,-
通辽万达影城(万达广场店) ,IMAX数字,2016年7月22日,  ,  ,386,-
酒泉万达影城(万达广场店) ,IMAX数字,2017年11月10日,-,-,369,-
兰州万达影城（城关万达广场店）,IMAX Commercial Laser ,2018年12月26日,21.6,11.39,410,12聲道音響系統
兰州空间站影城（兰州中心店）,IMAX Commercial Laser ,2018年12月28日,21.98,11.35,441,12聲道音響系統
兰州万达影城（安宁中海环宇城店）,IMAX数字,2020年12月25日,-,-,332,-
武威万达影城(万达广场店) ,IMAX数字,2018年10月19日,  ,  ,386,-
太原博纳国际影城 ,IMAX数字,2015年6月20日,21.78,11.75,343,-
太原万象影城（IMAX店）,IMAX Commercial Laser ,2018年9月15日,22.85,11.86,358,5.1聲道音響系統
太原万达影城（龙湖万达广场店）,IMAX Commercial Laser ,2018年12月30日,26.51,14.06,430,"12聲道音響系統
IMAX公司全球第1000家IMAX影院"
太原泰禾影城,IMAX数字,2020年8月18日,19.8,10.35,261,-
太原CGV影城(印象城店) ,IMAX数字,2020年8月25日,20.96,10.92,230,-
临汾万达影城(新百汇广场店) ,IMAX数字,2016年12月20日,  ,  ,331,-
晋中万达影城(万达广场店),IMAX数字,2017年8月18日,20.06,10.58,381,-
晋中华谊兄弟影院 ,IMAX数字,2017年9月15日,  ,  ,462,-
大同万达影城(万达广场店) ,IMAX数字,2017年10月20日,  ,  ,383,-
长治万达影城(万达广场店) ,IMAX数字,2018年9月22日,  ,  ,329,-
榆林万达影城(万达广场店) ,IMAX数字,2018年12月22日,  ,  ,349,-
运城万达影城(万达广场店) ,IMAX数字,2018年12月28日,  ,  ,364,-
福州万达影城(金融街万达广场店) ,IMAX数字,2010年12月22日,20.6,10.674,314,-
福州万达影城(仓山万达广场店) ,IMAX数字,2011年12月2日,19.09,9.854,261,-
福州金逸影城IMAX（万宝商圈店）,IMAX数字,2012年4月,   ,  ,445,-
福州星美国际影城(王庄店) ,IMAX数字,2015年1月10日,25.8,13.56,557,-
福州CGV影城(东二环IMAX店) ,IMAX数字,2015年12月30日,20.36,10.94,290,-
福州幸福蓝海国际影城(名城IMAX店) ,IMAX数字,2016年12月24日,18.17,9.54,304,-
福州海峡文化艺术中心金逸IMAX影城,IMAX Commercial Laser ,2021年2月1日,20.39,10.59,465,12聲道音響系統
福州万达影城(仓山万达广场店) ,IMAX数字,2011年12月,19.09,9.854,261,12聲道音響系統
厦门万达影城(湖里万达广场店) ,IMAX数字,2011年9月2日,19.54,10.058,291,-
厦门金逸影城(明发IMAX店) ,IMAX数字,2013年1月8日,  ,  ,396,-
厦门万达影城(集美万达广场店) ,IMAX数字,2013年6月8日,22.13,12.3,412,-
厦门万达影城(世茂海峡广场店) ,IMAX数字,2016年7月16日,22.62,11.83,348,-
厦门卢米埃影城(宝龙一城IMAX店) ,IMAX数字,2018年9月30日,22.62,11.77,374,-
厦门万达影城（湖里万达广场店）,IMAX Commercial Laser ,2019年11月22日,20.18,10.399,291,12聲道音響系統
莆田万达影城(万达广场店) ,IMAX数字,2012年12月15日,21.51,11.306,348,-
泉州万达影城(万达广场店) ,IMAX数字,2012年9月29日,   ,  ,416,-
泉州泰禾影城(东海店) ,IMAX数字,2017年8月,  ,  ,333,-
安溪金逸影城(宝龙店) ,IMAX数字,2016年12月3日,19.2,10.11,346,-
晋江万达影城(万达广场店) ,IMAX数字,2012年8月10日,21.6,11.2,357,-
泉州星轶IMAX影城（晋江吾悦广场旗舰店）,IMAX数字,2017年12月22日,19.83,10.2,209,-
漳州万达影城(万达广场店) ,IMAX数字,2012年11月28日,21.71,11.332,347,-
漳州万达影城(台商区万达广场店) ,IMAX数字,2017年1月6日,22.48,11.8,381,-
漳州金逸影城(红星店) ,IMAX数字,2018年10月3日,18.81,9.7,249,-
宁德万达影城(万达广场店),IMAX数字,2012年8月11日,  ,  ,305,-
龙岩万达影城(万达广场店),IMAX数字,2014年11月7日,  ,  ,401,-
福清万达影城(万达广场店),IMAX数字,2014年12月5日,22.21,11.62,410,-
石狮万达影城(世茂广场店),IMAX数字,2016年9月9日,25.16,13.5,344,-
三明万达影城(万达广场店),IMAX数字,2016年12月30日,22.95,12.15,376,-
南平万达影城(万达广场店) ,IMAX数字,2018年11月30日,22.14,11.6,348,-
郑州万达影城(中原万达广场店) ,IMAX数字,2011年10月28日,-,-,353,-
郑州CGV影城(大卫城店) ,IMAX数字,2015年12月11日,24.68,13.06,396,-
郑州万达影城(惠济万达广场店) ,IMAX数字,2016年11月18日,23.1,12.22,396,-
郑州CGV影城(高新店) ,IMAX数字,2016年12月6日,24.93,13.45,366,-
郑州CGV影城(正弘城店) ,IMAX数字,2018年12月29日,24.92,13.1,322,-
郑州万达影城（二七万达广场店）,IMAX Commercial Laser ,2019年1月4日,23.21,11.7,423,12聲道音響系統
郑州CGV影城（YOYOPARK店）,IMAX Commercial Laser ,2020年8月27日,20.6,10.64,222,12聲道音響系統
郑州金逸影城(高新大学城店),IMAX数字,2020年9月4日,-,-,263,-
洛阳万达影城(万达广场店) ,IMAX数字,2012年2月20日,  ,  ,295,-
安阳万达影城(万达广场店) ,IMAX数字,2015年7月25日,   ,  ,400,-
三门峡万达影城(万达广场店) ,IMAX数字,2016年10月21日,  ,  ,402,-
焦作万达影城(万达广场店) ,IMAX数字,2017年6月30日,20.57,10.65,386,-
南阳万达影城(中泰广场店) ,IMAX数字,2017年7月14日,21.9,11.75,321,-
平顶山万达影城(万达广场店) ,IMAX数字,2017年11月24日,21.03,10.93,375,-
新乡万达影城(牧野区万达广场店) ,IMAX数字,2017年12月23日,21.47,11.2,359,-
鹤壁万达影城(万达广场店) ,IMAX数字,2018年6月22日,  ,  ,350,-
商丘万达影城(万达广场店) ,IMAX数字,2018年7月6日,  ,  ,387,-
开封万达影城(万达广场店) ,IMAX数字,2018年9月28日,20.13,10.44,363,-
成都万达影城(锦华万达广场店),IMAX数字,2011年11月8日,,,254,-
成都影立方影城(东郊记忆773店) ,IMAX数字,2020年4月30日,23.22,12.68,488,-
成都万达影城(金牛万达广场店) ,IMAX数字,2012年12月22日,21.18,10.98,381, IMAX中国第100家IMAX影院
成都影立方影城(城南优品道广场店) ,IMAX数字,2013年12月25日,  ,  ,436,-
成都CGV影城(金牛店) ,IMAX数字,2013年12月30日,21.25,10.9,326,-
成都UA国际金融中心影城 ,IMAX数字,2014年1月14日,,  ,433,-
成都卢米埃影城(龙湖店) ,IMAX数字,2014年1月18日,  ,  ,352,-
成都CGV影城(高新店) ,IMAX数字,2014年8月28日,23.51,12.38,411,-
成都SFC上影影城(龙湖IMAX店),IMAX数字,2014年9月24日,  ,  ,320,-
成都金逸影城(鹏瑞利店) ,IMAX数字,2014年10月28日,  ,  ,504,-
成都CGV影城(金楠店) ,IMAX数字,2015年10月23日,20.68,11.12,284,-
成都SFC上影影城(科华IMAX店),IMAX数字,2015年12月18日,24.39,13.09,442,-
成都万达影城(蜀都万达广场店) ,IMAX数字,2016年4月29日,22.76,11.79,338,-
成都万达影城(简阳旭海广场店) ,IMAX数字,2016年9月17日,  ,  ,312,-
成都万达影城(崇州万达广场店) ,IMAX数字,2016年9月1日,  ,  ,396,-
成都万达影城(城中城店) ,IMAX数字,2018年1月6日,16.31,8.66,204,-
成都中视国际影城 IMAX(铁建店) ,IMAX数字,2017年12月23日,  ,  ,306,-
成都幸福蓝海国际影城（仁和新城IMAX店） ,IMAX数字,2018年11月23日,21.39,11.1,404, IMAX中国第600家IMAX影院
成都CGV影城(龙泉驿店),IMAX数字,2018年12月22日,20.52,10.61,311,-
成都万达影城(468店) ,IMAX数字,2019年1月25日,17.45,9.1,182,-
成都博纳影城(大悦城店),IMAX数字,2019年5月1日,23.88,12.35,374,"原名成都星美国际影城(大悦城店)
由于星美集团经营不善被博纳影业集团收购并更名为博纳影城重新装修"
成都CGV影城(新都店),IMAX数字,2019年10月25日,23.92,12.6,355,-
成都英皇电影城（温江新光天地店）,IMAX Commercial Laser ,2019年12月25日,23.87,12.46,386,12聲道音響系統
成都CGV影城(犀浦店),IMAX数字,2019年12月25日,19.5,10.06,211,-
成都百老汇影城（万象城店）,IMAX Commercial Laser ,2020年12月6日,24.52,12.8,394,5.1聲道音響系統
成都寰映影城(世茂广场店),IMAX数字,待定,-,-,-,-
成都万达影城(环球IMAX店),IMAX数字,2013年8月16日,22.58,12.55,,"由于星美集团经营不善被万达集团收购并更名为万达影城重新装修
原名成都星美国际影商城(环球IMAX店)"
绵阳万达影城(涪城万达广场店) ,IMAX数字,2012年12月21日,  ,  ,347,-
绵阳金逸影城(奥莱店) ,IMAX数字,2018年8月3日,25.22,13.33,396,-
绵阳万达影城（涪城万达广场店）,IMAX Commercial Laser ,2012年12月21日,  ,  ,347,12聲道音響系統
广元万达影城(万达广场店) ,IMAX数字,2015年6月5日,  ,  ,382,-
内江万达影城(万达广场店) ,IMAX数字,2015年6月26日,25.75,13.86,396,-
自贡星维国际电影城(南湖店),IMAX数字,2015年7月16日,23.63,12.35,524,-
泸州CGV影城(万象汇店) ,IMAX数字,2015年11月6日,  ,  ,354,-
泸州万达影城(万达广场店) ,IMAX数字,2018年6月1日,20.9,10.85,427,-
泸州金逸影城(天远广场店) ,IMAX数字,2019年9月30日,25.76,13.67,368,-
资阳万达影城(万达广场店) ,IMAX数字,2016年6月17日,  ,  ,411,-
德阳万达影城(万达广场店) ,IMAX数字,2016年9月17日,23.63,12.43,372,-
德阳金逸影城(五洲广场店) ,IMAX数字,2020年12月30日,20.34,10.51,362,-
乐山万达影城(万达广场店) ,IMAX数字,2016年9月23日,20.25,11,360,-
乐山金逸影城,IMAX数字,2019年9月6日,21.28,11.08,315,-
遂宁万达影城(万达广场店) ,IMAX数字,2016年10月21日,21.22,  ,394,-
眉山万达影城(雕像国际广场店) ,IMAX数字,2017年4月1日,19.59,10.71,246,-
达州横店电影城(罗浮店) ,IMAX数字,2017年5月1日,  ,  ,235,-
雅安万达影城(万达广场店) ,IMAX数字,2017年7月21日,20.82,11.17,422,-
宜宾万达影城(万达广场店) ,IMAX数字,2018年12月21日,20.76,10.77,388,-
南充万达影城(保利广场店) ,IMAX数字,2020年8月21日,-,-,404,-
南昌万达影城(八一万达广场店) ,IMAX数字,2019年12月5日,16.5,8.09,277,-
南昌万达影城(红谷滩万达广场店) ,IMAX数字,2017年3月28日 ,21.98 ,11.47 ,338,-
南昌万达影城(万达文化旅游城店) ,IMAX数字,2016年5月28日,25.53,13.77,355,-
南昌星轶IMAX影城（青山湖吾悦广场旗舰店） ,IMAX数字,2016年11月18日,17.83,9.43,306,-
南昌万达影城(西湖万达广场店) ,IMAX数字,2017年6月23日,20.6,10.69,395,-
南昌万达影城(青山湖万达广场店) ,IMAX数字,2018年12月21日,21.88,11.44,374,-
赣州CGV影城 ,IMAX数字,2015年9月19日,  ,  ,479,-
赣州英皇电影城(杉杉奥莱店) ,IMAX数字,2019年9月28日,-,-,344,-
宜春万达影城(万达广场店) ,IMAX数字,2016年10月21日,21.45,11.41,398,-
宜春大地影院(润达国际IMAX店),IMAX数字,2019年2月5日,  ,  ,411,-
新余金逸影城IMAX（光美抱石店） ,IMAX数字,2017年1月25日,  ,   ,352,-
上饶万达影城(万达广场店) ,IMAX数字,2016年11月25日,23.86,12.7,351,-
抚州万达影城(万达广场店) ,IMAX数字,2017年6月16日,   ,   ,406,-
九江万达影城(万达广场店) ,IMAX数字,2017年6月16日,22.63,11.72,396,-
吉安金逸影城（金鑫瑞德IMAX店）,IMAX数字,2020年1月20日,-,-,396,-
贵阳星美国际影城(花果园店) ,IMAX数字,2013年6月20日,  ,  ,432,-
贵阳万达影城(观山湖万达广场店) ,IMAX数字,2018年5月25日,22.24,11.64,281,-
贵阳越界影城（未来方舟店）,IMAX GT Laser,2018年9月30日,32.16,18.17,714,12聲道音響系統
贵阳万达影城（中大广场店）,IMAX Commercial Laser ,2019年4月23日,18.92,9.91,281,12聲道音響系統
贵阳卢米埃影城(花溪店),IMAX数字,2019年8月20日,19.09,10.02,231,-
贵阳CGV影城（印象城店) ,IMAX Commercial Laser ,2019年12月19日,22.96,11.94,335,12聲道音響系統
贵阳万达影城(大上海云岩万达广场店) ,IMAX数字,2019年12月30日,-,-,434,-
贵阳万达影城(数博万达广场店) ,IMAX数字,2020年12月18日,21.53,11.61,331,-
贵阳博悦汇影城(THE ONE购物中心店) ,IMAX数字,待定,-,-,-,-
六盘水万达影城(万达广场店) ,IMAX数字,2018年5月10日,20.86,10.78,411,-
遵义金逸影城(方圆荟·日月星IMAX店) ,IMAX数字,2020年8月18日,-,-,378,-
南宁万达影城(印象城店) (原悦荟店) ,IMAX数字,2013年10月1日,  ,  ,255,-
南宁永恒·晶钻影城,IMAX数字,2014年1月17日,  ,  ,399,-
南宁新民族影城,IMAX数字,2014年6月27日,25.76,13.15,506,-
南宁万达影城(安吉万达广场店) ,IMAX数字,2015年12月5日,  ,  ,341,-
南宁万达影城(万达茂店) ,IMAX数字,2017年6月16日,  ,  ,384,-
南宁万达影城(江南万达广场店) ,IMAX数字,2017年6月23日,22.85,11.75,359,-
南宁万达影城（青秀万达广场店）,IMAX Commercial Laser ,2019年4月14日 ,22.76,11.67,412,12聲道音響系統
南宁万达影城(江宇世纪城店) ,IMAX数字,2019年4月17日,20.92,10.99,201,-
桂林万达影城(七星万达广场店) ,IMAX数字,2015年9月12日,  ,  ,412,-
桂林万达影城(叠彩万达广场店) ,IMAX数字,2017年11月24日,19.05,10.75,362,-
桂林万象影城（万象城IMAX激光店）,IMAX Commercial Laser ,2019年10月9日,19.44,10.09,252,5.1聲道音響系統
桂林万达影城(临桂万达广场店) ,IMAX数字 ,2020年9月30日,19.21,10.21,-,-
柳州万达影城(柳南万达广场店) ,IMAX数字,2016年12月16日,20.05,10.6,394,-
柳州金逸影城(万象城店) ,IMAX数字,2018年9月30日,25.28,13.41,393,-
柳州万达影城（城中万达广场店）,IMAX Commercial Laser ,2018年12月27日,22.13,11.58,362,12聲道音響系統
北海大地影院(宁春城店) ,IMAX数字,2017年10月26日,20.02,10.51,278,-
贵港万达影城(万达广场店) ,IMAX数字,2018年12月27日,  ,  ,359,-
玉林金逸影城(凤凰广场店)  永久关闭,IMAX数字,2019年1月19日,  ,  ,380,已于2021年2月8日闭店
玉林万达影城(万达广场店),IMAX数字,2019年5月25日,22.76,10.85,365,-
玉林中影金城国际影院,IMAX数字,2021年2月6日,18.12,9.46,253,-
海口中视国际影城(国兴店) ,IMAX数字,2014年1月6日,-,-,469,-
海口星轶影城(吾悦广场IMAX店) ,IMAX数字,2016年10月28日,25.36,13.67,343,-
海口万达影城(海航日月广场店) ,IMAX数字,2016年12月16日,  ,  ,382,-
海口金逸影城(星海湾IMAX店) ,IMAX数字,2016年12月7日,-,-,448,-
海口万达影城(秀英万达广场店) ,IMAX数字,2016年12月23日,-,-,413,-
海口中视国际影城(喜盈门店) ,IMAX数字,2016年10月26日,-,-,368,-
海口CGV影城(友谊阳光城店) ,IMAX数字,2017年5月1日,  ,  ,402,-
三亚万达影城(万达海棠湾店) ,IMAX数字,2011年9月16日,20.91,11.79,295,-
三亚中视国际影城 ,IMAX数字,2014年8月2日,21.87,11.459,380,-
西宁万达影城(海湖万达广场店) ,IMAX数字,2016年7月29日,  ,  ,350,-
西宁万达影城(中发源时代广场店) ,IMAX数字,2018年1月5日,  ,  ,342,-
乌鲁木齐万达影城(万达广场店) ,IMAX数字,2016年8月12日,  ,  ,345,-
乌鲁木齐万达影城(德汇万达广场店) ,IMAX数字,2018年2月1日,  ,  ,210,-
乌鲁木齐万达影城(高新区万达广场店) ,IMAX数字,2018年9月21日,20.23,10.44,339,-
拉萨万达影城(万达广场店) ,IMAX数字,2020年8月10日,,,392,-
澳门英皇戲院 葡京人綜合渡假村,IMAX数码,待定,-,-,-,-
