影城名称,放映系统,开业时间,银幕宽度(米),银幕高度(米),座位数(个),备注
南京幸福蓝海国际影城(证大喜马拉雅IMAX店),IMAX数字,待定,-,-,-,-
南京幸福蓝海国际影城(江北虹悦城IMAX店),IMAX数字,待定,-,-,-,-
东莞市科學技術博物館,IMAX GT Dome,2006年1月29日,23,-,300,-
东莞万达影城（华南MALL店）,IMAX GT Laser,2021年1月26日,32.06,19.51,503,"12聲道音響系統
中國大陸地區第5家IMAX影院"
东莞万达影城(长安万达广场店) ,IMAX数字,2018年10月31日,24.85,12.47,407,-
东莞万达影城(东城万达广场店) ,IMAX数字,2018年10月30日,19.3,10.9,322,-
东莞越界思哲影城 ,IMAX数字,2015年1月23日,20.5,11.4,318,-
东莞万达影城(厚街万达广场店) ,IMAX数字,2015年11月6日,22.3,12.7,341,-
东莞万达影城(虎门万达广场店) ,IMAX数字,2016年12月16日,20.7,11.6,354,-
东莞CGV影城(国贸店) ,IMAX数字,2018年12月18日,  ,  ,356,-
重庆市少年宮影院,IMAX SR Dome,2007年6月1日,18,-,175,-
重庆科技馆,IMAX SR,2009年9月10日,21.97,16,270,科教影院（不定时放映胶片IMAX科普影片）
重庆金逸影城(星光时代店) ,IMAX数字,2021年3月16日,22.49,12.25,332,银幕型号:HARKNESS IMAX Coating 3.1 Peak Gain
重庆万达影城(大渡口新天泽店) ,IMAX数字,2020年11月28日,  ,  ,243,-
重庆百丽宫影城(万象城店) ,IMAX数字,2014年12月2日,23.74,12.64,456,-
重庆越界影城(大学城店) ,IMAX数字,2015年1月17日,22.94,11.93,445,-
重庆万达影城(巴南万达广场店) ,IMAX数字,2015年10月30日,23.57,12.5,374,-
重庆万达影城(大融城店) ,IMAX数字,2016年8月12日,15.46,7.81,217,-
重庆万达影城(永川万达广场店) ,IMAX数字,2016年9月16日,21.19,11.26,396,-
重庆万达影城(大坪店) ,IMAX数字,2016年11月4日,   ,   ,288,-
重庆CGV影城(源著店) ,IMAX数字,2017年6月16日,22.29,11.85,275,-
重庆万达影城(北碚万达广场店) ,IMAX数字,2017年8月25日,20.76,10.8,355,-
重庆CGV影城(U城店) ,IMAX数字,2017年9月15日,24.57,13,334,-
重庆万达影城(綦江万达广场店) ,IMAX数字,2017年10月27日,   ,   ,396,-
重庆万象影城（弹子石IMAX店）,IMAX Commercial Laser ,2018年9月15日,24.52,12.9,294,5.1聲道音響系統
重庆万达影城(大竹林店) ,IMAX数字,2018年12月30日,   ,   ,297,-
重庆万达影城(华茂中心店) ,IMAX数字,2019年2月1日,22.75,11.83,340,-
重庆金逸影城(蘭亭IMAX店) ,IMAX数字,2019年4月23日,22.18,11.7,342,-
